name,area_mm2,I_mm4,Z_mm3,weight_kg_per_m,depth_mm
IPE80,764,801300,201000,6.0,80
IPE100,1032,1710000,341000,8.1,100
IPE120,1321,3178000,532900,10.4,120
IPE140,1643,5412000,773100,12.9,140
IPE160,2009,8693000,1090000,15.8,160
IPE180,2395,13170000,1466000,18.8,180
IPE200,2848,19430000,1943000,22.4,200
IPE220,3337,27720000,2519000,26.2,220
IPE240,3912,38920000,3239000,30.7,240
IPE270,4595,57900000,4292000,36.1,270
IPE300,5381,83560000,5570000,42.2,300
IPE330,6261,117700000,7128000,49.1,330
IPE360,7273,162700000,9038000,57.1,360
IPE400,8446,231300000,11570000,66.3,400
IPE450,9882,337400000,15050000,77.6,450
IPE500,11550,481900000,19270000,90.7,500
